Date,Open,High,Low,Close
01/01/2017,991.5,1000,969.01,969.01
02/01/2017,1014,1400,971.51,1060
03/01/2017,1006.59,1069.5,1006.59,1069.49
04/01/2017,1070,1240,1070,1210
05/01/2017,1210,1212,955.08,1068
06/01/2017,1016.01,1080,931,1001
07/01/2017,942,1001,860,967.5
08/01/2017,967.5,990,901.34,902.01
09/01/2017,922.5,999,922.5,960
10/01/2017,940.5,995,930,941.5
11/01/2017,974,974,799,820
12/01/2017,850,926.99,750.01,899.99
13/01/2017,800.06,922,800.06,822.01
14/01/2017,869,869,823,867
15/01/2017,850,867,821,823.01
16/01/2017,846,847,522,600
17/01/2017,700,969.99,550,940
18/01/2017,939,954,860.01,890
19/01/2017,900,960,892.01,948
20/01/2017,918.5,950,911,921
21/01/2017,934.97,950,915.53,938.99
22/01/2017,938.9,946.98,912,939
23/01/2017,924.01,959,920,950
24/01/2017,927.51,1139,915,938.5
25/01/2017,918,950,907,921.52
26/01/2017,921.52,948,917,939
27/01/2017,930,959.95,923,926.5
28/01/2017,949.9,960,929,940
29/01/2017,942.02,959.9,938,938
30/01/2017,938,951,933,950
31/01/2017,949.99,998.9,941,995
01/02/2017,988,1000,973,998.9
02/02/2017,998.9,1034.5,990,1010
03/02/2017,1022,1038,1013,1017
04/02/2017,1037.5,1065,1016.03,1059
05/02/2017,1033,1058.49,1012,1042.98
06/02/2017,1042.98,1050,1021.5,1046.95
07/02/2017,1036.01,1100,1036.01,1082
08/02/2017,1082,1099,1062.1,1069.5
09/02/2017,1070.11,1095,959.99,1008.49
10/02/2017,997,1035,965,997
11/02/2017,1021,1040,1011.01,1039.99
12/02/2017,1039,1040,995.01,1035
13/02/2017,1035,1045,997,1011
14/02/2017,1007,1055,1007,1054
15/02/2017,1040,1055,1015.06,1028
16/02/2017,1028,1070,1027.01,1050
17/02/2017,1050,1090,1035.02,1090
18/02/2017,1089.99,1200,1075.12,1079
19/02/2017,1079,1094,1061,1062.5
20/02/2017,1062.5,1090,1062,1090
21/02/2017,1080.19,1184.8,1072.01,1156.99
22/02/2017,1155,1176,1110.01,1176
23/02/2017,1162.5,1196,1141,1193.49
24/02/2017,1184.51,1228,1082,1183.99
25/02/2017,1183.99,1199.97,1102.18,1172.99
26/02/2017,1171.99,1184.99,1090.09,1155.01
27/02/2017,1155.51,1234,1112.01,1231
28/02/2017,1230.99,1230.99,1189,1204.5
01/03/2017,1205,1244.99,1203.5,1244
02/03/2017,1224.52,1276.99,1199.01,1264.99
03/03/2017,1259,1298,1246.09,1294.99
04/03/2017,1290,1334.99,1252.1,1302
05/03/2017,1301.49,1301.49,1263.54,1273.01
06/03/2017,1275.01,1293.99,1245.1,1293
07/03/2017,1293,1293.99,1212.01,1265
08/03/2017,1237.01,1290,1150.04,1150.04
09/03/2017,1150.03,1220,1150,1219.68
10/03/2017,1206,1269.5,1101.1,1144
11/03/2017,1167.95,1280,1131.03,1200
12/03/2017,1201,1260,1200.01,1227.11
13/03/2017,1258.5,1280,1205,1244.64
14/03/2017,1267,1279.97,1239.5,1279
15/03/2017,1258,1284,1258,1269.01
16/03/2017,1283,1284,1167.01,1241
17/03/2017,1212,1280,1136,1155
18/03/2017,1156.1,1210,971,1016
19/03/2017,1005,1190,1003.01,1105
20/03/2017,1096,1170,1092,1123
21/03/2017,1122.55,1197.99,1102.43,1169
22/03/2017,1135.51,1154.83,1060,1075.99
23/03/2017,1073,1119,1003,1060.55
24/03/2017,1061,1095.98,940,949
25/03/2017,870.01,990.98,870,990.98
26/03/2017,970,1050,956.01,999.99
27/03/2017,999.99,1064.99,965.05,1064.99
28/03/2017,1064.99,1119.99,1045.01,1108
29/03/2017,1108,1108,1040,1067
30/03/2017,1094,1096.4,1030,1078
31/03/2017,1080,1092,1057,1090
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
